what,where,why,how,when,text,id
disguised,executable,,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
?õ????MSN,Gaming Z0ne,,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
,,,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
masqueraded,Starloader,,,,Starloader has masqueraded as legitimate software update packages such as Adobe Acrobat Reader and Intel., T1036 
performed,TEMP.Veles,,,,"TEMP.Veles has performed a variety of methods to look like valid users, including renaming files and mimicking legitimate administrator activities.", T1036 
look,like valid users,,methods,,"TEMP.Veles has performed a variety of methods to look like valid users, including renaming files and mimicking legitimate administrator activities.", T1036 
including,renaming files mimicking legitimate administrator activities,variety methods look like valid users,,,"TEMP.Veles has performed a variety of methods to look like valid users, including renaming files and mimicking legitimate administrator activities.", T1036 
renaming,files,,,,"TEMP.Veles has performed a variety of methods to look like valid users, including renaming files and mimicking legitimate administrator activities.", T1036 
mimicking,legitimate administrator activities,,,,"TEMP.Veles has performed a variety of methods to look like valid users, including renaming files and mimicking legitimate administrator activities.", T1036 
establish,persistence,,,,"To establish persistence, Truvasys adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.", T1036 
adds,Truvasys,attempt masquerade legitimate Windows Task Manager,,,"To establish persistence, Truvasys adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.", T1036 
masquerade,legitimate Windows Task Manager,,,,"To establish persistence, Truvasys adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.", T1036 
used,Ursnif,,,,"Ursnif has used strings from legitimate system files and existing folders for its file, folder, and Registry entry names.", T1036 
existing,folders,,,,"Ursnif has used strings from legitimate system files and existing folders for its file, folder, and Registry entry names.", T1036 
called,legitimate Russian program,,,,USBStealer mimics a legitimate Russian program called USB Disk Security., T1036 
add,Some Volgmer variants,,,,"Some Volgmer variants add new services with display names generated by a list of hard-coded strings such as Application, Background, Security, and Windows, presumably as a way to masquerade as a legitimate service.", T1036 
generated,display names,,,,"Some Volgmer variants add new services with display names generated by a list of hard-coded strings such as Application, Background, Security, and Windows, presumably as a way to masquerade as a legitimate service.", T1036 
coded,strings,,hard,,"Some Volgmer variants add new services with display names generated by a list of hard-coded strings such as Application, Background, Security, and Windows, presumably as a way to masquerade as a legitimate service.", T1036 
masquerade,legitimate service,,way,,"Some Volgmer variants add new services with display names generated by a list of hard-coded strings such as Application, Background, Security, and Windows, presumably as a way to masquerade as a legitimate service.", T1036 
named,A Winnti implant file,,,,"A Winnti implant file was named ASPNET_FILTER.DLL, mimicking the legitimate ASP.NET ISAPI filter DLL with the same name.", T1036 
mimicking,A Winnti implant file,,,,"A Winnti implant file was named ASPNET_FILTER.DLL, mimicking the legitimate ASP.NET ISAPI filter DLL with the same name.", T1036 
contains,several references football,likely attempt disguise traffic,,,yty contains several references to football   in a likely attempt to disguise its traffic., T1036 
disguise,traffic,,,,yty contains several references to football   in a likely attempt to disguise its traffic., T1036 
mimics,ZLib,,,,"ZLib mimics the resource version information of legitimate Realtek Semiconductor, Nvidia, or Synaptics modules.", T1036 
modified,Windows Services,ensure PowerShell scripts loaded system,,,APT32 modified Windows Services to ensure PowerShell scripts were loaded on the system., T1031 
ensure,PowerShell scripts loaded system,,,,APT32 modified Windows Services to ensure PowerShell scripts were loaded on the system., T1031 
loaded,system,,,,APT32 modified Windows Services to ensure PowerShell scripts were loaded on the system., T1031 
modified,APT41,install malware backdoors,,,APT41 modified legitimate Windows services to install malware backdoors., T1031 
install,malware backdoors,,,,APT41 modified legitimate Windows services to install malware backdoors., T1031 
terminate,specific process,,process,,Bankshot can terminate a specific process by its process id., T1031 
modify,service configurations,,,,BBSRAT can modify service configurations., T1031 
utilize,built modules,modify service binaries restore original state,,,Empire can utilize built-in modules to modify service binaries and restore them to their original state., T1031 
built,modules,,,,Empire can utilize built-in modules to modify service binaries and restore them to their original state., T1031 
modify,service binaries,,,,Empire can utilize built-in modules to modify service binaries and restore them to their original state., T1031 
restore,,original state,,,Empire can utilize built-in modules to modify service binaries and restore them to their original state., T1031 
chooses,service,,,,"GreyEnergy chooses a service, drops a DLL file, and writes it to that serviceDLL Registry key.", T1031 
drops,DLL file,,,,"GreyEnergy chooses a service, drops a DLL file, and writes it to that serviceDLL Registry key.", T1031 
writes,GreyEnergy,serviceDLL Registry key,,,"GreyEnergy chooses a service, drops a DLL file, and writes it to that serviceDLL Registry key.", T1031 
modify,system service COMSysApp,load malicious DLL,,,Honeybee has batch files that modify the system service COMSysApp to load a malicious DLL., T1031 
,,,,,Honeybee has batch files that modify the system service COMSysApp to load a malicious DLL., T1031 
change,service configurations,,,,"PlugX has a module to change service configurations as well as start, control, and delete services.", T1031 
creates,Registry entry modifying Logical Disk Manager service point malicious DLL dropped disk,,,,PoisonIvy creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk., T1031 
modifying,Logical Disk Manager service,point malicious DLL dropped disk,,,PoisonIvy creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk., T1031 
,,malicious DLL dropped disk,,,PoisonIvy creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk., T1031 
dropped,malicious DLL,,,,PoisonIvy creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk., T1031 
,,,,,PoisonIvy creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk., T1031 
contains,"collection Privesc PowerUp modules discover replace / modify service binaries , paths , configs",,,,"PowerSploit contains a collection of Privesc-PowerUp modules that can discover and replace/modify service binaries, paths, and configs.", T1031 
